locality_symbol,election_locality_name,target_election,election_number,year,eligible_voters,votes_cast,invalid_votes,valid_votes,Right,Center_Left,Haredi,Arab,Other,total_main_blocs,turnout_pct,invalid_vote_pct,modeled_vote_coverage_pct,Other_raw_pct,Right_valid_pct,Right_pct,Center_Left_valid_pct,Center_Left_pct,Haredi_valid_pct,Haredi_pct,Arab_valid_pct,Arab_pct
7,שחר,Knesset_21,21,2019,516,371,0,371,196.0,139.0,35.0,0.0,1.0,370.0,71.89922480620154,0.0,99.73045822102425,0.2695417789757413,52.83018867924528,52.972972972972975,37.46630727762803,37.567567567567565,9.433962264150944,9.45945945945946,0.0,0.0
10,תירוש,Knesset_21,21,2019,333,237,2,235,148.0,11.0,76.0,0.0,0.0,235.0,71.17117117117117,0.8438818565400843,100.0,0.0,62.97872340425532,62.97872340425532,4.680851063829787,4.680851063829787,32.340425531914896,32.340425531914896,0.0,0.0
11,"ניר ח""ן",Knesset_21,21,2019,403,289,1,288,130.0,156.0,2.0,0.0,0.0,288.0,71.712158808933,0.34602076124567477,100.0,0.0,45.13888888888889,45.13888888888889,54.166666666666664,54.166666666666664,0.6944444444444444,0.6944444444444444,0.0,0.0
13,חצבה,Knesset_21,21,2019,502,403,0,403,75.0,320.0,4.0,0.0,4.0,399.0,80.2788844621514,0.0,99.0074441687345,0.9925558312655087,18.610421836228287,18.796992481203006,79.4044665012407,80.20050125313283,0.9925558312655087,1.0025062656641603,0.0,0.0
15,נועם,Knesset_21,21,2019,302,217,2,215,175.0,8.0,29.0,0.0,3.0,212.0,71.8543046357616,0.9216589861751152,98.6046511627907,1.3953488372093024,81.3953488372093,82.54716981132076,3.7209302325581395,3.7735849056603774,13.488372093023257,13.679245283018867,0.0,0.0
16,בית ניר,Knesset_21,21,2019,429,331,0,331,18.0,311.0,0.0,0.0,2.0,329.0,77.15617715617715,0.0,99.39577039274926,0.6042296072507553,5.438066465256798,5.47112462006079,93.95770392749245,94.52887537993921,0.0,0.0,0.0,0.0
18,שדה משה,Knesset_21,21,2019,398,306,4,302,97.0,200.0,2.0,0.0,3.0,299.0,76.88442211055276,1.3071895424836601,99.00662251655629,0.9933774834437087,32.11920529801324,32.441471571906355,66.22516556291392,66.88963210702342,0.6622516556291391,0.6688963210702341,0.0,0.0
21,באר אורה,Knesset_21,21,2019,550,416,2,414,150.0,252.0,7.0,2.0,3.0,411.0,75.63636363636364,0.4807692307692308,99.27536231884058,0.7246376811594203,36.231884057971016,36.496350364963504,60.86956521739131,61.31386861313869,1.6908212560386473,1.70316301703163,0.4830917874396135,0.48661800486618007
22,מקווה ישראל,Knesset_21,21,2019,152,102,0,102,40.0,61.0,1.0,0.0,0.0,102.0,67.10526315789474,0.0,100.0,0.0,39.21568627450981,39.21568627450981,59.80392156862745,59.80392156862745,0.9803921568627451,0.9803921568627451,0.0,0.0
23,אמציה,Knesset_21,21,2019,220,162,1,161,128.0,33.0,0.0,0.0,0.0,161.0,73.63636363636363,0.6172839506172839,100.0,0.0,79.5031055900621,79.5031055900621,20.496894409937887,20.496894409937887,0.0,0.0,0.0,0.0
24,לכיש,Knesset_21,21,2019,561,460,0,460,46.0,409.0,2.0,1.0,2.0,458.0,81.99643493761141,0.0,99.56521739130434,0.43478260869565216,10.0,10.043668122270741,88.91304347826086,89.30131004366812,0.43478260869565216,0.43668122270742354,0.21739130434782608,0.21834061135371177
26,ראש פינה,Knesset_21,21,2019,2404,1765,1,1764,607.0,1115.0,20.0,10.0,12.0,1752.0,73.41930116472545,0.05665722379603399,99.31972789115646,0.6802721088435374,34.41043083900227,34.646118721461185,63.208616780045354,63.641552511415526,1.1337868480725624,1.141552511415525,0.5668934240362812,0.5707762557077625
27,שדות מיכה,Knesset_21,21,2019,267,196,1,195,132.0,23.0,38.0,0.0,2.0,193.0,73.40823970037454,0.5102040816326531,98.97435897435898,1.0256410256410255,67.6923076923077,68.39378238341969,11.794871794871794,11.917098445595855,19.48717948717949,19.689119170984455,0.0,0.0
28,מזכרת בתיה,Knesset_21,21,2019,10351,8088,23,8065,3279.0,4584.0,145.0,5.0,52.0,8013.0,78.13737803110811,0.28437190900098913,99.35523868567886,0.6447613143211408,40.65716057036578,40.92100336952452,56.838189708617485,57.2070385623362,1.7978921264724117,1.8095594658679646,0.06199628022318661,0.062398602271309125
29,יסוד המעלה,Knesset_21,21,2019,1215,895,2,893,279.0,604.0,5.0,2.0,3.0,890.0,73.66255144032921,0.22346368715083798,99.66405375139978,0.33594624860022393,31.24300111982083,31.348314606741575,67.63717805151175,67.86516853932584,0.5599104143337066,0.5617977528089888,0.22396416573348266,0.22471910112359553
31,אופקים,Knesset_21,21,2019,20939,13715,158,13557,6541.0,2129.0,4784.0,3.0,100.0,13457.0,65.4997850900234,1.1520233321181188,99.26237368149296,0.7376263185070443,48.24813749354577,48.606673106933194,15.704064321014974,15.820762428475888,35.288043077377004,35.55027123430185,0.02212878955521133,0.022293230289068888
32,עוצם,Knesset_21,21,2019,426,326,2,324,133.0,25.0,166.0,0.0,0.0,324.0,76.52582159624414,0.6134969325153374,100.0,0.0,41.04938271604938,41.04938271604938,7.716049382716049,7.716049382716049,51.23456790123457,51.23456790123457,0.0,0.0
33,בת שלמה,Knesset_21,21,2019,432,358,3,355,93.0,253.0,3.0,2.0,4.0,351.0,82.87037037037037,0.8379888268156425,98.87323943661971,1.1267605633802817,26.197183098591548,26.495726495726498,71.26760563380282,72.07977207977207,0.8450704225352111,0.8547008547008548,0.5633802816901409,0.5698005698005698
35,גדות,Knesset_21,21,2019,374,248,2,246,16.0,228.0,0.0,1.0,1.0,245.0,66.31016042780749,0.8064516129032258,99.59349593495935,0.40650406504065045,6.504065040650407,6.530612244897959,92.6829268292683,93.06122448979592,0.0,0.0,0.40650406504065045,0.40816326530612246
36,שדה דוד,Knesset_21,21,2019,395,299,0,299,191.0,71.0,37.0,0.0,0.0,299.0,75.69620253164557,0.0,100.0,0.0,63.87959866220736,63.87959866220736,23.745819397993312,23.745819397993312,12.37458193979933,12.37458193979933,0.0,0.0
37,איתן,Knesset_21,21,2019,347,268,1,267,195.0,5.0,67.0,0.0,0.0,267.0,77.23342939481267,0.3731343283582089,100.0,0.0,73.03370786516854,73.03370786516854,1.8726591760299627,1.8726591760299627,25.0936329588015,25.0936329588015,0.0,0.0
39,גפן,Knesset_21,21,2019,254,187,2,185,140.0,21.0,24.0,0.0,0.0,185.0,73.62204724409449,1.06951871657754,100.0,0.0,75.67567567567568,75.67567567567568,11.351351351351353,11.351351351351353,12.972972972972974,12.972972972972974,0.0,0.0
41,אליכין,Knesset_21,21,2019,2612,1992,16,1976,1297.0,441.0,233.0,0.0,5.0,1971.0,76.26339969372128,0.8032128514056224,99.74696356275304,0.25303643724696356,65.63765182186235,65.80416032470828,22.317813765182187,22.37442922374429,11.791497975708502,11.821410451547438,0.0,0.0
43,מטולה,Knesset_21,21,2019,1417,925,2,923,257.0,649.0,6.0,1.0,10.0,913.0,65.27875793930839,0.21621621621621623,98.91657638136512,1.0834236186348862,27.843986998916577,28.148959474260675,70.31419284940412,71.08433734939759,0.6500541711809318,0.6571741511500547,0.10834236186348861,0.10952902519167579
44,זוהר,Knesset_21,21,2019,267,204,1,203,134.0,41.0,28.0,0.0,0.0,203.0,76.40449438202246,0.49019607843137253,100.0,0.0,66.00985221674877,66.00985221674877,20.19704433497537,20.19704433497537,13.793103448275861,13.793103448275861,0.0,0.0
46,יבנאל,Knesset_21,21,2019,2498,1681,6,1675,628.0,408.0,628.0,3.0,8.0,1667.0,67.29383506805445,0.3569303985722784,99.5223880597015,0.47761194029850745,37.492537313432834,37.672465506898625,24.35820895522388,24.4751049790042,37.492537313432834,37.672465506898625,0.1791044776119403,0.1799640071985603
47,כפר תבור,Knesset_21,21,2019,3310,2483,9,2474,784.0,1654.0,20.0,6.0,10.0,2464.0,75.01510574018127,0.3624647603705195,99.59579628132579,0.40420371867421184,31.689571544058204,31.818181818181817,66.85529506871464,67.12662337662337,0.8084074373484237,0.8116883116883116,0.2425222312045271,0.2435064935064935
48,מנחמיה,Knesset_21,21,2019,930,613,4,609,365.0,227.0,14.0,0.0,3.0,606.0,65.91397849462366,0.6525285481239804,99.50738916256158,0.49261083743842365,59.93431855500822,60.23102310231023,37.274220032840724,37.45874587458746,2.2988505747126435,2.31023102310231,0.0,0.0
49,אילניה,Knesset_21,21,2019,461,321,1,320,131.0,177.0,1.0,1.0,10.0,310.0,69.63123644251627,0.3115264797507788,96.875,3.125,40.9375,42.25806451612903,55.3125,57.096774193548384,0.3125,0.3225806451612903,0.3125,0.3225806451612903
52,לוזית,Knesset_21,21,2019,439,324,2,322,178.0,95.0,47.0,2.0,0.0,322.0,73.80410022779044,0.6172839506172839,100.0,0.0,55.27950310559007,55.27950310559007,29.503105590062113,29.503105590062113,14.596273291925465,14.596273291925465,0.6211180124223602,0.6211180124223602
53,עתלית,Knesset_21,21,2019,5523,3966,25,3941,1871.0,1896.0,136.0,4.0,34.0,3907.0,71.80879956545357,0.6303580433686334,99.13727480334941,0.8627251966505963,47.47526008627252,47.88840542615817,48.10961684851561,48.52828256974661,3.4509007866023853,3.4809316611210646,0.10149708195889369,0.10238034297414896
55,נוגה,Knesset_21,21,2019,399,286,0,286,183.0,84.0,13.0,1.0,5.0,281.0,71.67919799498746,0.0,98.25174825174825,1.7482517482517483,63.98601398601399,65.12455516014235,29.37062937062937,29.8932384341637,4.545454545454546,4.6263345195729535,0.34965034965034963,0.3558718861209964
57,כנרת (קבוצה),Knesset_21,21,2019,632,421,1,420,66.0,352.0,1.0,0.0,1.0,419.0,66.61392405063292,0.23752969121140144,99.76190476190476,0.2380952380952381,15.714285714285714,15.75178997613365,83.80952380952381,84.00954653937947,0.2380952380952381,0.23866348448687352,0.0,0.0
58,מצפה,Knesset_21,21,2019,132,103,0,103,25.0,77.0,0.0,0.0,1.0,102.0,78.03030303030303,0.0,99.02912621359224,0.9708737864077669,24.271844660194176,24.509803921568626,74.75728155339806,75.49019607843137,0.0,0.0,0.0,0.0
59,נחושה,Knesset_21,21,2019,731,603,1,602,510.0,59.0,31.0,0.0,2.0,600.0,82.48974008207935,0.16583747927031509,99.66777408637874,0.33222591362126247,84.71760797342192,85.0,9.800664451827243,9.833333333333332,5.149501661129568,5.166666666666667,0.0,0.0
62,דגניה א',Knesset_21,21,2019,515,367,0,367,30.0,336.0,0.0,0.0,1.0,366.0,71.26213592233009,0.0,99.72752043596729,0.2724795640326975,8.174386920980927,8.19672131147541,91.55313351498637,91.80327868852459,0.0,0.0,0.0,0.0
63,כנרת (מושבה),Knesset_21,21,2019,521,381,2,379,148.0,226.0,4.0,0.0,1.0,378.0,73.12859884836853,0.5249343832020997,99.73614775725594,0.2638522427440633,39.050131926121374,39.15343915343915,59.63060686015831,59.78835978835979,1.0554089709762533,1.0582010582010581,0.0,0.0
64,"יד רמב""ם",Knesset_21,21,2019,834,631,2,629,459.0,120.0,49.0,0.0,1.0,628.0,75.65947242206235,0.31695721077654515,99.84101748807632,0.1589825119236884,72.97297297297297,73.08917197452229,19.07790143084261,19.10828025477707,7.790143084260731,7.802547770700636,0.0,0.0
65,מגדל,Knesset_21,21,2019,1388,934,1,933,638.0,146.0,143.0,1.0,5.0,928.0,67.29106628242076,0.10706638115631692,99.46409431939979,0.5359056806002144,68.38156484458734,68.75,15.64844587352626,15.732758620689655,15.326902465166132,15.40948275862069,0.10718113612004287,0.10775862068965517
66,מרחביה (קיבוץ),Knesset_21,21,2019,888,650,1,649,176.0,468.0,3.0,0.0,2.0,647.0,73.1981981981982,0.15384615384615385,99.69183359013869,0.30816640986132515,27.11864406779661,27.202472952086552,72.11093990755008,72.3338485316847,0.46224961479198773,0.46367851622874806,0.0,0.0
67,אור הנר,Knesset_21,21,2019,603,493,0,493,54.0,437.0,0.0,2.0,0.0,493.0,81.75787728026535,0.0,100.0,0.0,10.953346855983773,10.953346855983773,88.64097363083164,88.64097363083164,0.0,0.0,0.4056795131845842,0.4056795131845842
69,ניר עוז,Knesset_21,21,2019,329,247,0,247,18.0,228.0,0.0,1.0,0.0,247.0,75.07598784194529,0.0,100.0,0.0,7.28744939271255,7.28744939271255,92.3076923076923,92.3076923076923,0.0,0.0,0.4048582995951417,0.4048582995951417
70,אשדוד,Knesset_21,21,2019,177630,117488,1107,116381,51391.0,37272.0,26868.0,73.0,777.0,115604.0,66.14198052130834,0.9422238866948114,99.33236524862306,0.667634751376943,44.157551490363545,44.45434414034116,32.02584614327081,32.24109892391267,23.08624259973707,23.24141033182243,0.06272501525163042,0.06314660392373966
71,אשבול,Knesset_21,21,2019,407,320,1,319,201.0,88.0,28.0,0.0,2.0,317.0,78.62407862407862,0.3125,99.37304075235109,0.6269592476489028,63.00940438871473,63.40694006309149,27.586206896551722,27.760252365930597,8.77742946708464,8.832807570977918,0.0,0.0
