סמל היישוב,שם יישוב,"מספר מקבלי דמי אבטלה 
(סה""כ שנתי)","אחוז מקבלי דמי אבטלה מבני 67-20
(שנתי)","מקבלי דמי אבטלה 
(ממוצע חודשי) סה""כ","מקבלי דמי אבטלה 
(ממוצע חודשי) גברים","אחוז מקבלי דמי אבטלה מבני 67-20
(ממוצע חודשי)","גיל ממוצע של מקבלי דמי אבטלה
(לא כולל חיילים)","דמי אבטלה ממוצעים ליום
(ש""ח)","ימי זכאות לדמי אבטלה
(ממוצע שנתי)","ניצול ימי אבטלה בשנה 
(ממוצע שנתי)","ניצול ימי אבטלה בשנה 
(חציון שנתי)","מקבלי הכשרה מקצועית
סה""כ","מקבלי קצבאות זקנה ושאירים סה""כ (סוף שנה)",אחוז מקבלי השלמת הכנסה מבין מקבלי קצבאות זקנה ושאירים (סוף שנה),"מקבלי גמלת הבטחת הכנסה (נפשות, במשך השנה)",מקבלי גמלאות סיעוד (סוף שנה),מקבלי גמלאות נכות כללית (סוף שנה),מקבלי גמלאות ניידות (סוף שנה),מקבלי גמלאות נכות מעבודה ותלויים (סוף שנה),"אחוז המבוטחים בקופ""ח מתוך סך כל המבוטחים כללית","אחוז המבוטחים בקופ""ח מתוך סך כל המבוטחים מכבי","אחוז המבוטחים בקופ""ח מתוך סך כל המבוטחים מאוחדת","אחוז המבוטחים בקופ""ח מתוך סך כל המבוטחים לאומית","מספר משפחות של מקבלי קצבאות  בגין ילדים (סוף שנה) סה""כ",מספר משפחות של מקבלי קצבאות  בגין ילדים (סוף שנה) עם 2-1 ילדים במשפחה,מספר משפחות של מקבלי קצבאות  בגין ילדים (סוף שנה) עם 4-3 ילדים במשפחה,מספר משפחות של מקבלי קצבאות  בגין ילדים (סוף שנה) עם 5 ילדים ויותר במשפחה,"מספר ילדים שבגינם שולמו קצבאות סה""כ",מספר ילדים שבגינם שולמו קצבאות במשפחות עם 2-1 ילדים,מספר ילדים שבגינם שולמו קצבאות במשפחות עם 4-3 ילדים,מספר ילדים שבגינם שולמו קצבאות במשפחות עם 5 ילדים ויותר
472,אבו גוש,142,3.07,45.25,25.17,0.99,40.30,192.70,143.45,78,67,-                                                 ,521,30.71,255,239,318,29,17,86.60,2.60,10.10,0.70,"1,098",703,348,47,"2,452","1,047","1,153",252
473,אבו סנאן,343,3.85,109.25,52.92,1.24,37.45,175.98,135.89,77.32,67,-                                                 ,999,25.13,537,338,623,70,45,63.80,7.70,5,23.60,"1,940","1,309",584,47,"4,075","1,950","1,883",242
182,אבן יהודה,305,4.00,95.17,36.75,1.25,41.78,270.47,150.93,74.63,61,..                                                ,"1,904",3.31,50,327,233,58,44,42.20,40.70,14.40,2.70,"1,599","1,056",524,19,"3,417","1,636","1,682",99
"2,710",אום אל-פחם,"1,271",3.77,421.50,226.67,1.27,38.92,173.45,143.57,81.20,67,-                                                 ,"2,749",26.23,"3,752","1,967","2,068",247,158,71.30,8,20.50,0.20,"8,650","5,155","3,115",380,"20,172","7,824","10,331","2,017"
31,אופקים,153,3.33,44.42,20,0.97,36.96,221.80,137.54,68.57,63,-                                                 ,512,3.13,26,96,101,18,9,66.70,14.60,16.70,2,"1,044",337,381,326,"3,837",531,"1,331","1,975"
"2,400",אור יהודה,851,3.77,243.17,107.33,1.11,41.71,212.56,151.10,67.93,50,..                                                ,"5,283",14.84,567,"1,675","1,564",153,106,56.10,36.70,2.30,4.90,"5,285","3,331","1,742",212,"11,905","4,993","5,688","1,224"
"1,020",אור עקיבא,706,5.84,226.83,95.75,1.92,41.35,208.51,150.00,77.37,67,..                                                ,"3,329",29.44,518,"1,168",756,82,82,62.10,20.50,10.90,6.40,"2,503","1,580",809,114,"5,646","2,349","2,657",640
"3,760",אורנית,196,3.79,61.50,26.67,1.20,42.05,257.24,158.73,76.72,61,-                                                 ,884,3.96,..                                                ,98,165,39,25,39.70,53.10,3.90,3.30,957,615,321,21,"2,109",963,"1,032",114
565,אזור,309,3.95,96.17,35.33,1.23,40.93,229.85,149.11,75.23,65,..                                                ,"1,877",8.26,152,473,374,57,57,41.20,53.20,2.80,2.80,"1,614","1,023",530,61,"3,641","1,580","1,718",343
"2,600",אילת,"1,498",4.41,439.67,200.92,1.30,42.01,218.80,152.37,68.83,53,..                                                ,"6,304",21.51,"1,093","1,199","2,485",215,246,55.80,35.30,3.60,5.20,"7,377","5,331","1,860",186,"14,989","7,872","6,050","1,067"
