סמל היישוב,שם יישוב,"מספר מקבלי דמי אבטלה 
(סה""כ שנתי)","אחוז מקבלי דמי אבטלה מבני 67-20
(שנתי)","מקבלי דמי אבטלה 
(ממוצע חודשי) סה""כ","מקבלי דמי אבטלה 
(ממוצע חודשי) גברים","אחוז מקבלי דמי אבטלה מבני 67-20
(ממוצע חודשי)","גיל ממוצע של מקבלי דמי אבטלה
(לא כולל חיילים)","דמי אבטלה ממוצעים ליום
(ש""ח)","ימי זכאות לדמי אבטלה
(ממוצע שנתי)","ניצול ימי אבטלה בשנה 
(ממוצע שנתי)","ניצול ימי אבטלה בשנה 
(חציון שנתי)","מקבלי הכשרה מקצועית
סה""כ","מקבלי קצבאות זקנה ושאירים סה""כ (סוף שנה)",אחוז מקבלי השלמת הכנסה מבין מקבלי קצבאות זקנה ושאירים (סוף שנה),"מקבלי גמלת הבטחת הכנסה (נפשות, במשך השנה)",מקבלי גמלאות סיעוד (סוף שנה),מקבלי גמלאות נכות כללית (סוף שנה),מקבלי גמלאות ניידות (סוף שנה),מקבלי גמלאות נכות מעבודה ותלויים (סוף שנה),"אחוז המבוטחים בקופ""ח מתוך סך כל המבוטחים כללית","אחוז המבוטחים בקופ""ח מתוך סך כל המבוטחים מכבי","אחוז המבוטחים בקופ""ח מתוך סך כל המבוטחים מאוחדת","אחוז המבוטחים בקופ""ח מתוך סך כל המבוטחים לאומית","מספר משפחות של מקבלי קצבאות  בגין ילדים (סוף שנה) סה""כ",מספר משפחות של מקבלי קצבאות  בגין ילדים (סוף שנה) עם 2-1 ילדים במשפחה,מספר משפחות של מקבלי קצבאות  בגין ילדים (סוף שנה) עם 4-3 ילדים במשפחה,מספר משפחות של מקבלי קצבאות  בגין ילדים (סוף שנה) עם 5 ילדים ויותר במשפחה,"מספר ילדים שבגינם שולמו קצבאות סה""כ",מספר ילדים שבגינם שולמו קצבאות במשפחות עם 2-1 ילדים,מספר ילדים שבגינם שולמו קצבאות במשפחות עם 4-3 ילדים,מספר ילדים שבגינם שולמו קצבאות במשפחות עם 5 ילדים ויותר
472,אבו גוש,"1,097",24.55,538,339,12.13,36.21,171.12,114.78,127.36,110,..                                                ,467,29.76,358,204,313,31,18,87.10,2.30,10,0.60,"1,081",677,359,45,"2,425",999,"1,186",240
473,אבו סנאן,"1,653",19.37,803,383,9.53,35.78,147.68,114.97,128.23,111,-                                                 ,893,24.52,658,297,582,73,50,62.60,8.40,4.50,24.60,"1,914","1,277",591,46,"4,071","1,914","1,912",245
182,אבן יהודה,"1,552",20.74,736,305,9.90,40.20,213.30,127.66,123.94,100,-                                                 ,"1,828",3.01,54,280,230,64,49,42.60,39.30,15.20,2.90,"1,606","1,019",572,15,"3,484","1,577","1,827",80
"2,710",אום אל-פחם,"6,260",19.75,"3,204","2,033",10.26,35.84,152.41,116.41,139.64,130,-                                                 ,"2,494",25.86,"4,197","1,700","1,976",256,169,72.60,7.70,19.50,0.20,"8,548","5,007","3,129",412,"20,289","7,662","10,434","2,193"
31,אופקים,771,17.70,345,158,8.08,36.12,176.81,125.19,115.42,86,-                                                 ,448,2.23,29,77,87,18,9,65.80,15,17.30,1.90,"1,024",272,414,338,"3,912",445,"1,443","2,024"
"2,400",אור יהודה,"5,885",27.46,"2,647","1,215",12.30,39.96,180.90,125.03,113.89,86,..                                                ,"4,893",14.49,698,"1,409","1,533",163,112,58,34.90,2.10,5,"5,330","3,417","1,726",187,"11,767","5,084","5,614","1,069"
"1,020",אור עקיבא,"3,148",27.91,"1,438",620,12.85,40.26,179.95,123.75,116.44,91,-                                                 ,"3,034",30.95,739,973,706,87,82,64.70,18.70,10.70,5.90,"2,460","1,603",761,96,"5,374","2,360","2,466",548
"3,760",אורנית,"1,218",24.18,552,239,10.92,39.71,210.78,121.65,117.10,92,-                                                 ,765,3.53,17,65,157,41,24,39,53.40,4.20,3.40,968,627,322,19,"2,121",972,"1,046",103
565,אזור,"2,006",25.79,906,379,11.74,40.22,193.13,127.16,114.78,86,-                                                 ,"1,773",7.50,231,386,366,64,59,41.10,53,3.20,2.70,"1,582","1,027",502,53,"3,483","1,569","1,616",298
"2,600",אילת,"16,343",48.65,"8,577","4,064",25.56,39.50,195.91,121.50,127.58,118,..                                                ,"5,944",20.00,"1,563",896,"2,187",224,254,55.10,35.40,3.80,5.70,"7,273","5,283","1,813",177,"14,625","7,752","5,866","1,007"
37,איתן,946,19.49,399,158,8.38,37.39,194.08,114.92,104.16,75,-                                                 ,964,3.11,187,271,132,16,21,80.40,14.70,2,2.90,"1,000",591,364,45,"2,307",876,"1,187",244
478,אכסאל,"1,393",16.56,690,425,8.29,35.52,155.47,115.28,135.00,115,-                                                 ,689,37.88,615,307,508,93,60,83.80,11.30,1,3.90,"2,294","1,362",839,93,"5,346","2,091","2,768",487
41,אליכין,915,16.26,377,145,6.82,38.65,194.70,120.67,103.08,74,-                                                 ,912,1.86,45,199,161,12,17,79.90,16.80,1.50,1.80,993,545,390,58,"2,458",832,"1,277",349
"1,309",אלעד,"5,096",27.14,"2,241",870,12.11,36.21,156.52,130.71,111.35,82,-                                                 ,901,9.43,496,169,826,65,6,34.50,31.90,23.80,9.70,"6,119","1,297","2,101","2,721","26,532","2,049","7,422","17,061"
"3,750",אלפי מנשה,"1,155",25.37,529,210,11.64,40.88,208.11,128.27,117.47,91,-                                                 ,793,4.29,42,52,168,36,22,45,47.50,5.60,1.90,"1,124",748,362,14,"2,401","1,176","1,145",80
"3,560",אלקנה,380,19.62,160,66,8.31,37.07,194.34,120.40,107.51,80,-                                                 ,492,1.02,..                                                ,32,38,11,8,51.30,34.20,4.60,9.90,622,264,289,69,"1,758",394,997,367
529,אעבלין,"1,809",22.76,868,497,11.07,36.49,151.00,117.62,127.96,102,-                                                 ,879,34.93,575,315,478,56,46,74.40,11.20,10.50,3.90,"1,825","1,125",641,59,"4,088","1,686","2,092",310
"3,650",אפרת,"1,187",21.15,521,254,9.54,37.54,182.00,119.03,112.75,88,-                                                 ,662,4.53,42,91,185,20,8,23.70,35.60,38.60,2.10,"1,382",666,542,174,"3,798",993,"1,873",932
"3,570",אריאל,"2,991",24.59,"1,252",559,9.88,41.37,192.82,127.18,102.58,72,-                                                 ,"2,542",32.81,169,557,471,61,74,41.50,37.30,3.30,18,"2,334","1,652",576,106,"4,904","2,418","1,864",622
