סמל היישוב,שם יישוב,"מספר מקבלי דמי אבטלה 
(סה""כ שנתי)","אחוז מקבלי דמי אבטלה מבני 67-20
(שנתי)","מקבלי דמי אבטלה 
(ממוצע חודשי) סה""כ","מקבלי דמי אבטלה 
(ממוצע חודשי) גברים","אחוז מקבלי דמי אבטלה מבני 67-20
(ממוצע חודשי)","גיל ממוצע של מקבלי דמי אבטלה
(לא כולל חיילים)","דמי אבטלה ממוצעים ליום
(ש""ח)","ימי זכאות לדמי אבטלה
(ממוצע שנתי)","ניצול ימי אבטלה בשנה 
(ממוצע שנתי)","ניצול ימי אבטלה בשנה 
(חציון שנתי)","מקבלי הכשרה מקצועית
סה""כ","מקבלי קצבאות זקנה ושאירים סה""כ (סוף שנה)",אחוז מקבלי השלמת הכנסה מבין מקבלי קצבאות זקנה ושאירים (סוף שנה),"מקבלי גמלת הבטחת הכנסה (נפשות, במשך השנה)",מקבלי גמלאות סיעוד (סוף שנה),מקבלי גמלאות נכות כללית (סוף שנה),מקבלי גמלאות ניידות (סוף שנה),מקבלי גמלאות נכות מעבודה ותלויים (סוף שנה),"אחוז המבוטחים בקופ""ח מתוך סך כל המבוטחים כללית","אחוז המבוטחים בקופ""ח מתוך סך כל המבוטחים מכבי","אחוז המבוטחים בקופ""ח מתוך סך כל המבוטחים מאוחדת","אחוז המבוטחים בקופ""ח מתוך סך כל המבוטחים לאומית","מספר משפחות של מקבלי קצבאות  בגין ילדים (סוף שנה) סה""כ",מספר משפחות של מקבלי קצבאות  בגין ילדים (סוף שנה) עם 2-1 ילדים במשפחה,מספר משפחות של מקבלי קצבאות  בגין ילדים (סוף שנה) עם 4-3 ילדים במשפחה,מספר משפחות של מקבלי קצבאות  בגין ילדים (סוף שנה) עם 5 ילדים ויותר במשפחה,"מספר ילדים שבגינם שולמו קצבאות סה""כ",מספר ילדים שבגינם שולמו קצבאות במשפחות עם 2-1 ילדים,מספר ילדים שבגינם שולמו קצבאות במשפחות עם 4-3 ילדים,מספר ילדים שבגינם שולמו קצבאות במשפחות עם 5 ילדים ויותר
490,דייר אל-אסד,248,3.57,79,47,1.15,41,181,148,80,70,..                                                ,607,31.47,465,246,317,31,24,77.20,0.30,15.90,6.60,976,390,507,79,"2,778",667,"1,694",417
492,דייר חנא,386,6.36,128,72,2.13,41,171,149,83,73,..                                                ,611,42.23,621,188,427,52,62,69.80,0.60,8.70,21,"1,539",983,512,44,"3,386","1,508","1,646",232
"2,200",דימונה,"1,469",7.32,453,189,2.26,39,178,136,73,60,..                                                ,"4,649",35.08,"2,829","1,213","1,719",181,253,67.60,26.80,0.30,5.40,"6,057","3,890","1,718",449,"13,977","5,703","5,657","2,617"
"9,700",הוד השרון,"1,649",4.62,537,207,1.51,43,258,148,79,72,..                                                ,"7,993",6.86,176,979,"1,277",199,200,46.30,41.20,10,2.50,"6,948","4,572","2,297",79,"14,724","7,037","7,236",451
"3,769",הר אדר,89,3.90,32,14,1.40,42,254,147,90,89,-                                                 ,413,1.94,..                                                ,11,39,6,3,35.50,25.40,36.10,3,447,277,166,..                                                ,"1,002",447,535,20
"6,400",הרצלייה,"2,465",4.40,781,338,1.40,42,249,146,76,68,..                                                ,"17,551",6.96,423,"2,294","2,389",384,383,37.70,45.90,12.40,4,"11,756","8,347","3,243",166,"23,885","12,697","10,242",946
"9,300",זכרון יעקב,539,4.17,171,70,1.32,42,237,145,76,63,..                                                ,"2,484",4.71,88,334,402,84,67,42.40,45,11,1.50,"2,654","1,666",831,157,"6,176","2,534","2,677",965
"1,290",זמר,106,2.69,41,25,1.05,43,188,150,95,98,-                                                 ,423,16.31,180,153,177,20,20,56.20,1.50,11,31.40,976,579,353,44,"2,300",897,"1,172",231
975,זרזיר,218,4.95,70,41,1.61,38,170,140,77,64,..                                                ,357,29.69,234,80,283,51,21,79,2.80,17.30,1,"1,361",774,508,79,"3,310","1,182","1,712",416
"6,500",חדרה,"3,361",5.99,"1,105",485,1.98,42,198,143,80,72,..                                                ,"15,023",23.20,"2,216","3,462","3,077",440,420,54.20,14.10,20.80,10.90,"11,326","7,666","3,211",449,"24,469","11,452","10,410","2,607"
"6,600",חולון,"5,939",5.31,"1,924",810,1.72,43,210,147,79,70,11,"34,905",16.23,"2,264","8,437","6,340","1,018",866,38.10,50.30,5.80,5.80,"25,247","17,599","6,969",679,"52,689","26,465","22,364","3,860"
"1,303",חורה,170,1.98,52,38,0.62,36,183,140,73,64,..                                                ,409,55.26,"2,523",70,373,59,25,85.50,0.30,1.30,12.90,"2,251",551,750,950,"9,473",852,"2,651","5,970"
496,חורפיש,116,3.05,37,20,0.99,38,188,135,75,67,-                                                 ,397,11.59,87,110,188,36,11,68.30,1.80,9.40,20.50,995,693,296,6,"2,041","1,053",958,30
"4,000",חיפה,"6,529",4.00,"2,107",965,1.29,42,201,142,78,69,15,"55,767",22.05,"7,922","9,381","10,665","1,413","1,404",49,37.60,9.50,3.90,"34,679","25,200","8,214","1,265","71,451","37,550","26,321","7,580"
13,חצבה,230,3.69,76,32,1.22,41,235,144,79,75,-                                                 ,"1,767",1.81,52,292,256,39,47,84.90,12.70,0.50,1.90,"1,419",848,554,17,"3,174","1,297","1,784",93
"2,034",חצור הגלילית,322,6.39,101,40,2.01,39,177,140,76,67,..                                                ,"1,107",19.60,258,253,464,39,60,61.40,23,0.50,15.20,"1,553",946,458,149,"3,860","1,419","1,535",906
"1,247",חריש,768,11.82,247,95,4.82,38,207,141,78,76,..                                                ,569,24.60,310,60,95,14,13,52,27.10,12.80,8.20,421,228,130,63,"1,119",313,447,359
"6,700",טבריה,"1,795",7.22,574,246,2.31,40,169,139,77,67,..                                                ,"6,190",23.70,"2,268","1,285","3,001",269,220,73.70,7.70,7.90,10.70,"6,464","4,274","1,735",455,"14,714","6,249","5,709","2,756"
962,טובא-זנגרייה,271,7.02,88,35,2.30,40,179,148,80,72,-                                                 ,282,28.72,341,46,316,35,28,83.50,0.30,0.10,16.20,"1,013",577,390,46,"2,425",904,"1,280",241
498,טורעאן,257,3.25,78,40,1.00,42,180,153,74,66,-                                                 ,756,27.12,457,229,417,44,26,64.90,33.30,1.70,0.10,"2,160","1,194",877,89,"5,182","1,817","2,891",474
"2,730",טייבה,777,3.23,250,151,1.05,41,176,149,78,69,..                                                ,"2,672",20.85,"1,963",807,"1,451",170,130,73.40,11,10.40,5.20,"6,508","3,879","2,291",338,"15,337","5,925","7,608","1,804"
"2,720",טירה,297,1.90,90,54,0.58,43,197,149,73,62,-                                                 ,"1,886",29.32,442,694,"1,094",99,72,75.10,16.30,0.60,7.90,"3,654","2,485","1,069",100,"7,808","3,787","3,479",542
"2,100",טירת כרמל,860,6.22,279,129,2.05,42,188,143,79,73,-                                                 ,"3,537",22.31,960,664,"1,110",114,126,67.30,18.60,2.90,11.20,"2,723","1,920",746,57,"5,589","2,893","2,384",312
"8,900",טמרה,696,3.57,230,134,1.19,41,174,149,82,70,..                                                ,"1,856",38.58,"1,890",461,"1,239",150,113,88.30,1.20,1.90,8.60,"5,173","3,313","1,727",133,"11,385","5,044","5,645",696
"1,295",יאנוח-ג'ת,145,3.68,51,23,1.30,36,176,136,83,67,-                                                 ,"1,070",3.83,109,83,222,43,28,84.90,11.60,2.90,0.60,998,651,331,16,"2,130",971,"1,077",82
46,יבנאל,133,6.95,37,15,1.93,39,154,141,67,50,-                                                 ,302,6.29,270,60,215,21,10,50.10,3.90,2.10,43.80,577,256,192,129,"1,828",394,645,789
"2,660",יבנה,"1,303",4.86,390,166,1.46,41,210,142,70,58,..                                                ,"5,293",14.94,630,"1,098","1,264",199,214,48.90,39.70,6.80,4.50,"5,472","3,625","1,675",172,"11,860","5,502","5,423",935
"9,400",יהוד,828,4.88,263,114,1.54,42,229,147,77,67,..                                                ,"4,558",7.31,208,737,745,136,159,49.10,35,11.70,4.20,"3,845","2,628","1,144",73,"8,068","4,017","3,645",406
29,יסוד המעלה,103,3.07,33,17,1.00,36,222,133,77,67,..                                                ,460,1.74,27,109,90,17,16,59.90,24.70,10.70,4.80,784,297,369,118,"2,388",471,"1,278",639
499,יפיע,381,3.45,128,80,1.17,43,178,150,84,73,..                                                ,"1,141",34.53,736,273,572,97,100,70.20,12.30,11,6.50,"2,787","1,699",987,101,"6,359","2,605","3,228",526
240,יקנעם עילית,878,6.47,271,118,2.02,41,214,140,72,58,..                                                ,"2,675",23.66,377,455,618,78,85,51.40,34.50,0.80,13.30,"3,006","2,122",828,56,"6,131","3,184","2,645",302
831,ירוחם,417,7.47,120,51,2.19,39,189,137,67,54,-                                                 ,987,34.25,570,256,438,47,46,69.70,28.50,1,0.70,"1,566",892,444,230,"4,228","1,322","1,501","1,405"
"3,000",ירושלים,"13,294",2.87,"3,939","1,736",0.86,39,182,138,71,56,22,"77,629",15.26,"20,465","17,964","21,773","3,382","1,989",42,11.90,37.20,8.80,"136,901","68,243","47,279","21,379","393,175","103,427","160,237","129,511"
502,ירכא,352,3.56,117,57,1.20,38,168,137,80,67,..                                                ,847,11.33,439,215,717,112,76,56.50,0.30,26.60,16.60,"2,453","1,595",806,52,"5,413","2,493","2,648",272
504,כאבול,218,2.77,74,47,0.95,40,181,150,85,77,-                                                 ,572,45.63,631,170,478,55,49,80,0.20,19.20,0.50,"1,876","1,156",673,47,"4,227","1,772","2,211",244
505,כאוכב אבו אל-היג'א,106,5.26,39,24,1.96,38,178,144,92,96,-                                                 ,249,49.00,205,56,99,15,16,79.10,2.60,2.60,15.80,528,297,214,17,"1,252",473,692,87
"1,224",כוכב יאיר,98,1.81,30,13,0.55,44,271,148,75,62,-                                                 ,"1,113",2.79,..                                                ,51,183,42,36,40.20,42,4.30,13.50,"1,018",762,245,11,"1,928","1,095",776,57
"1,059",כסיפה,241,2.69,79,59,0.90,35,187,139,80,70,-                                                 ,426,60.33,"3,369",74,327,69,14,79.90,6,3.50,10.50,"2,110",720,745,645,"7,509","1,085","2,578","3,846"
"1,296",כסרא-סמיע,208,4.23,72,31,1.48,36,161,137,84,72,-                                                 ,374,14.71,258,83,310,36,32,62.20,6.80,11.80,19.20,"1,427",882,513,32,"3,232","1,374","1,694",164
978,כעביה-טבאש-חג'אג'רה,139,4.64,43,25,1.46,40,184,147,77,67,-                                                 ,247,31.58,169,83,172,41,12,63,4.90,30.50,1.60,855,456,349,50,"2,136",692,"1,182",262
633,כפר ברא,39,2.01,10,..                                                ,0.53,40,180,151,62,46,-                                                 ,141,19.86,21,54,119,14,12,53.10,0.90,45.90,0.10,553,331,185,37,"1,319",501,614,204
76,כפר גלעדי,475,4.09,146,70,1.27,38,205,143,73,62,-                                                 ,949,12.22,111,96,302,43,16,34.30,26.50,31,8.30,"3,097","1,101","1,339",657,"9,973","1,662","4,665","3,646"
"1,263",כפר ורדים,136,4.29,46,18,1.43,46,238,151,84,79,-                                                 ,868,2.42,16,62,87,17,22,53.20,38.60,6.30,1.90,617,452,159,6,"1,218",661,518,39
507,כפר יאסיף,336,5.42,113,56,1.84,40,170,140,81,69,-                                                 ,932,17.06,463,202,422,60,49,79.40,7.60,1.30,11.80,"1,363",972,374,17,"2,784","1,482","1,211",91
168,כפר יונה,736,5.21,243,104,1.78,42,224,147,81,72,..                                                ,"2,136",10.02,196,259,513,77,77,51.10,30.80,9.60,8.50,"2,772","1,619","1,080",73,"6,408","2,559","3,449",400
508,כפר כמא,75,3.61,24,12,1.16,42,187,145,80,71,-                                                 ,379,14.78,23,79,129,19,23,96.60,2.40,1,0.10,446,341,103,..                                                ,843,504,328,11
509,כפר כנא,420,3.38,140,90,1.14,41,159,147,82,69,-                                                 ,"1,067",38.14,"1,278",283,725,109,70,75.90,4.20,18.30,1.70,"3,387","1,880","1,336",171,"8,245","2,851","4,491",903
510,כפר מנדא,481,4.46,169,119,1.59,40,165,151,87,73,-                                                 ,870,32.64,"1,402",249,611,87,52,77.90,7.20,10.80,4.20,"3,278","1,945","1,183",150,"7,699","2,974","3,929",796
"6,900",כפר סבא,"2,667",4.83,846,361,1.53,43,243,148,77,68,..                                                ,"18,194",9.08,491,"2,650","2,613",439,360,56,33.80,7.90,2.30,"12,292","8,404","3,723",165,"25,682","12,991","11,782",909
634,כפר קאסם,232,1.80,78,48,0.62,42,187,149,82,69,-                                                 ,993,25.58,353,353,832,107,92,87.20,0.40,4.80,7.60,"3,601","2,125","1,267",209,"8,574","3,210","4,225","1,139"
654,כפר קרע,436,3.94,148,79,1.35,40,187,141,83,74,-                                                 ,"1,063",16.75,435,358,577,80,66,63.50,7.40,21.10,7.90,"2,592","1,530",978,84,"5,985","2,331","3,211",443
267,כפר שמריהו,23,2.28,..                                                ,..                                                ,..                                                ,46,257,150,80,69,-                                                 ,395,0.76,..                                                ,36,14,5,7,24.50,68.70,4.80,2.10,203,157,45,..                                                ,386,235,143,8
47,כפר תבור,110,4.55,38,13,1.57,42,229,149,83,79,-                                                 ,493,2.64,..                                                ,36,70,18,13,78.10,13.60,7.20,1.10,358,212,135,11,797,311,426,60
"1,139",כרמיאל,"1,638",6.13,531,241,1.98,43,191,144,79,72,..                                                ,"8,839",34.06,"1,366","1,867","1,686",208,207,53.20,33.60,7,6.20,"6,286","4,606","1,484",196,"12,673","6,779","4,732","1,162"
"1,271",להבים,122,3.23,34,16,0.90,41,232,134,65,55,-                                                 ,777,1.42,..                                                ,51,91,24,40,68.90,26.10,2.10,3,656,447,200,9,"1,354",660,641,53
"7,000",לוד,"2,033",4.97,641,305,1.58,42,195,146,76,67,..                                                ,"9,651",31.49,"3,363","2,739","2,662",372,360,61.60,20.70,7.20,10.40,"11,206","6,810","3,367","1,029","27,181","10,023","11,273","5,885"
52,לוזית,358,5.69,113,43,1.80,39,199,140,76,67,..                                                ,980,4.08,129,114,261,47,48,66.80,17.40,7.20,8.50,"1,363",899,435,29,"2,911","1,348","1,399",164
"1,060",לקיה,252,4.20,78,48,1.33,37,168,144,75,55,-                                                 ,413,59.81,"2,530",88,248,43,11,65.70,8.40,13.30,12.60,"1,603",384,624,595,"6,454",597,"2,203","3,654"
"1,015",מבשרת ציון,570,4.13,173,84,1.25,42,209,141,73,62,..                                                ,"3,699",4.08,229,422,525,100,107,44.90,20,32.70,2.40,"3,492","2,180","1,177",135,"7,909","3,270","3,873",766
481,מגאר,687,4.98,219,105,1.60,38,164,137,77,67,..                                                ,"1,272",27.52,"1,676",332,"1,221",125,68,59.10,7.50,13.10,20.30,"3,444","2,300","1,075",69,"7,300","3,460","3,486",354
516,מג'ד אל-כרום,407,4.68,129,71,1.50,40,175,146,77,61,..                                                ,776,35.31,676,451,621,92,94,84.60,0.50,10.20,4.70,"3,766","2,514","1,144",108,"8,087","3,710","3,803",574
65,מגדל,190,4.32,57,36,1.32,38,175,137,73,59,..                                                ,342,40.06,321,101,280,30,20,79.20,0.80,19.20,0.80,"1,237",703,463,71,"3,003","1,069","1,558",376
874,מגדל העמק,"1,137",7.98,358,163,2.51,41,176,142,76,67,..                                                ,"4,107",32.46,"1,078","1,013","1,564",139,110,68.90,22.60,0.50,8,"3,797","2,636",951,210,"8,248","3,890","3,104","1,254"
"4,201",מג'דל שמס,268,3.99,90,49,1.35,41,169,148,83,77,..                                                ,757,47.69,398,225,405,56,22,38.80,19,8.50,33.70,"1,636","1,209",417,10,"3,220","1,851","1,318",51
"3,797",מודיעין עילית,"1,557",6.27,413,110,1.70,33,151,139,63,48,..                                                ,691,14.04,429,136,871,102,12,29.90,19.70,33.70,16.70,"8,747","1,029","2,352","5,366","45,696","1,609","8,438","35,649"
"1,200",מודיעין-מכבים-רעות*,"2,136",4.17,672,272,1.32,42,245,148,76,66,..                                                ,"6,903",6.85,141,784,"1,019",177,188,35.90,45.10,15.50,3.60,"11,880","6,709","4,794",377,"28,133","10,466","15,628","2,039"
28,מזכרת בתיה,186,4.38,56,24,1.32,41,245,147,73,60,-                                                 ,928,0.86,25,139,125,40,27,63.30,24.20,11.60,0.90,"1,016",560,434,22,"2,373",866,"1,392",115
517,מזרעה,118,4.72,41,22,1.66,38,169,133,82,81,-                                                 ,277,24.19,166,81,149,31,21,94.40,0.50,1,4.10,585,435,143,7,"1,142",651,456,35
43,מטולה,49,4.56,13,..                                                ,1.21,39,195,134,61,53,-                                                 ,203,4.43,11,30,46,8,8,67.40,25.70,1.60,5.40,172,113,57,..                                                ,363,169,183,11
"1,268",מיתר,174,3.35,53,23,1.08,42,245,146,73,63,-                                                 ,905,2.87,21,69,113,41,49,63.90,31.40,2.30,2.50,915,610,288,17,"1,962",917,952,93
48,מנחמיה,147,3.45,46,21,1.09,39,231,142,74,67,-                                                 ,415,2.89,35,41,100,11,8,84.30,14.10,1.10,0.50,970,576,319,75,"2,340",860,"1,067",413
"4,203",מסעדה,103,4.81,35,16,1.66,41,174,145,82,67,-                                                 ,243,48.97,174,79,137,23,11,57.40,10.90,6.10,25.60,615,411,194,10,"1,336",655,631,50
518,מעיליא,63,3.38,21,10,1.13,42,187,144,83,76,-                                                 ,426,9.86,36,128,73,16,20,75.50,2,15.60,6.90,384,295,87,..                                                ,740,457,272,11
"3,616",מעלה אדומים,"1,084",5.01,335,149,1.55,40,196,140,74,60,..                                                ,"3,547",19.62,326,734,867,122,148,42.30,21.40,30,6.30,"5,493","3,208","1,944",341,"13,175","4,827","6,464","1,884"
"3,608",מעלה אפרים,71,10.44,22,10,3.22,42,202,150,78,67,-                                                 ,169,28.99,34,27,53,3,6,81.40,5.20,3.90,9.40,215,136,53,26,528,195,176,157
"1,327",מעלה עירון,368,4.36,128,85,1.54,40,182,147,85,73,-                                                 ,"1,599",9.94,785,338,398,51,66,69.90,1.90,27.20,0.90,"2,269","1,323",856,90,"5,349","2,016","2,859",474
"1,063",מעלות-תרשיחא,908,7.09,298,136,2.34,42,189,145,80,69,..                                                ,"3,253",41.16,763,661,726,85,74,60.10,11.20,20,8.70,"2,974","2,089",734,151,"6,359","3,098","2,407",854
99,מצפה רמון,180,6.18,55,20,1.89,41,175,141,73,59,-                                                 ,517,38.49,236,108,221,31,17,63.90,33.50,2.10,0.60,996,582,290,124,"2,561",843,967,751
66,מרחביה (קיבוץ),174,3.86,54,33,1.21,38,186,135,74,62,-                                                 ,488,36.48,384,153,365,37,30,85.40,1.10,13,0.50,"1,158",659,439,60,"2,789","1,007","1,468",314
520,משהד,117,2.56,39,23,0.87,41,163,147,81,67,..                                                ,583,19.90,280,103,310,39,29,83.50,1.20,10.10,5.20,"1,288",650,529,109,"3,388",989,"1,821",578
"9,100",נהרייה,"1,960",5.83,628,274,1.88,41,195,142,77,69,..                                                ,"10,177",22.81,"2,425","1,778","1,953",257,388,54.10,26.70,8.40,10.80,"7,884","5,570","2,151",163,"16,208","8,378","6,883",947
55,נוגה,218,4.93,66,26,1.50,40,203,140,73,66,-                                                 ,805,1.74,46,106,191,33,34,78.30,15.20,1.60,4.80,874,595,261,18,"1,811",869,841,101
15,נועם,778,4.29,244,109,1.37,41,234,142,76,68,-                                                 ,"3,549",3.13,171,442,546,92,86,63.10,28.70,5.60,2.60,"3,231","2,100","1,067",64,"7,019","3,239","3,420",360
"1,061",נוף הגליל,"1,703",7.05,545,248,2.27,44,182,148,78,67,..                                                ,"8,295",42.15,"2,652","2,178","1,909",273,39,58.80,27.10,7.40,6.80,"5,452","4,316","1,032",104,"10,204","6,329","3,249",626
522,נחף,269,3.82,98,62,1.41,39,183,148,91,90,..                                                ,553,34.36,647,232,563,74,38,55,2.80,32.60,9.70,"2,018","1,110",748,160,"5,095","1,695","2,544",856
69,ניר עוז,183,2.64,60,45,0.89,34,177,136,78,66,-                                                 ,265,53.96,"2,689",39,83,13,1,82,1.10,3.30,13.50,258,37,115,106,"1,128",61,404,663
"7,200",נס ציונה,"1,190",4.32,369,146,1.34,42,237,146,74,67,..                                                ,"5,723",8.81,347,962,860,160,178,44.60,39.40,14.40,1.70,"5,593","3,471","2,020",102,"12,372","5,434","6,394",544
"7,300",נצרת,"1,830",4.03,624,390,1.38,42,177,148,84,73,..                                                ,"6,380",31.32,"3,968","1,672","3,015",388,462,62.80,14.70,13.30,9.20,"11,410","7,407","3,659",344,"25,079","11,270","11,996","1,813"
"2,500",נשר,672,4.58,216,96,1.47,43,197,143,78,70,..                                                ,"3,921",27.06,393,657,760,102,116,47.80,41.30,3.90,6.90,"3,050","2,328",705,17,"5,802","3,505","2,205",92
246,נתיבות,"1,409",7.49,411,153,2.24,38,172,137,70,53,..                                                ,"2,412",32.92,"1,479",703,"1,178",118,117,54.30,34.50,10.20,0.90,"4,865","2,331","1,583",951,"14,742","3,443","5,418","5,881"
"7,400",נתניה,"7,000",5.75,"2,195","1,001",1.81,42,201,144,76,67,14,"35,486",22.45,"4,222","7,464","6,821",986,838,43.70,30.10,10.10,16.10,"28,491","18,540","8,516","1,435","63,960","27,911","27,739","8,310"
525,סאג'ור,140,5.38,46,15,1.79,36,157,135,78,67,-                                                 ,234,11.11,113,78,171,13,11,29.30,8.60,38.10,24,643,446,191,6,"1,326",671,620,35
587,סביון*,39,1.80,12,..                                                ,0.56,42,260,144,75,55,-                                                 ,673,1.34,..                                                ,65,49,24,10,24.10,63.90,8.30,3.70,355,241,106,8,756,365,348,43
