סמל היישוב,שם יישוב,"מספר מקבלי דמי אבטלה 
(סה""כ שנתי)","אחוז מקבלי דמי אבטלה מבני 67-20
(שנתי)","מקבלי דמי אבטלה 
(ממוצע חודשי) סה""כ","מקבלי דמי אבטלה 
(ממוצע חודשי) גברים","אחוז מקבלי דמי אבטלה מבני 67-20
(ממוצע חודשי)","גיל ממוצע של מקבלי דמי אבטלה
(לא כולל חיילים)","דמי אבטלה ממוצעים ליום
(ש""ח)","ימי זכאות לדמי אבטלה
(ממוצע שנתי)","ניצול ימי אבטלה בשנה 
(ממוצע שנתי)","ניצול ימי אבטלה בשנה 
(חציון שנתי)","מקבלי הכשרה מקצועית
סה""כ","מקבלי קצבאות זקנה ושאירים סה""כ (סוף שנה)",אחוז מקבלי השלמת הכנסה מבין מקבלי קצבאות זקנה ושאירים (סוף שנה),"מקבלי גמלת הבטחת הכנסה (נפשות, במשך השנה)",מקבלי גמלאות סיעוד (סוף שנה),מקבלי גמלאות נכות כללית (סוף שנה),מקבלי גמלאות ניידות (סוף שנה),מקבלי גמלאות נכות מעבודה ותלויים (סוף שנה),"אחוז המבוטחים בקופ""ח מתוך סך כל המבוטחים כללית","אחוז המבוטחים בקופ""ח מתוך סך כל המבוטחים מכבי","אחוז המבוטחים בקופ""ח מתוך סך כל המבוטחים מאוחדת","אחוז המבוטחים בקופ""ח מתוך סך כל המבוטחים לאומית","מספר משפחות של מקבלי קצבאות  בגין ילדים (סוף שנה) סה""כ",מספר משפחות של מקבלי קצבאות  בגין ילדים (סוף שנה) עם 2-1 ילדים במשפחה,מספר משפחות של מקבלי קצבאות  בגין ילדים (סוף שנה) עם 4-3 ילדים במשפחה,מספר משפחות של מקבלי קצבאות  בגין ילדים (סוף שנה) עם 5 ילדים ויותר במשפחה,"מספר ילדים שבגינם שולמו קצבאות סה""כ",מספר ילדים שבגינם שולמו קצבאות במשפחות עם 2-1 ילדים,מספר ילדים שבגינם שולמו קצבאות במשפחות עם 4-3 ילדים,מספר ילדים שבגינם שולמו קצבאות במשפחות עם 5 ילדים ויותר
472,אבו גוש,354,7.02,91.92,57.08,7.08,38.25,204.79,135.90,64.67,54,-                                                 ,560,29.29,314,268,359,28,17,86.70,2.70,10.10,0.60,"1,109",715,360,34,"2,448","1,067","1,195",186
473,אבו סנאן,707,8.00,205,101.33,8.07,36.73,181.98,134.18,72.35,61,-                                                 ,"1,057",24.50,544,369,696,72,45,64.30,7.60,4.90,23.30,"1,937","1,312",591,34,"4,054","1,969","1,908",177
182,אבן יהודה,567,7.17,165.83,68.92,7.19,41.90,294.77,152.85,70.44,58,-                                                 ,"1,970",3.25,56,368,246,56,41,41.90,40.90,14.50,2.80,"1,569","1,062",485,22,"3,295","1,629","1,547",119
"2,710",אום אל-פחם,"2,185",6.46,655.67,405.25,6.54,38.22,181.55,142.50,75.22,65,-                                                 ,"2,910",25.70,"3,345","2,130","2,327",243,152,71.30,8.10,20.50,0.10,"8,760","5,292","3,107",361,"20,152","7,970","10,273","1,909"
31,אופקים,233,4.79,61.33,28.33,4.89,37.76,228.51,143.62,63.55,52,..                                                ,552,2.72,31,111,115,19,9,66.50,14.60,16.80,2,"1,061",379,359,323,"3,778",576,"1,252","1,950"
"2,400",אור יהודה,"1,811",8.31,478.83,211.17,8.34,40.85,226.77,151.44,64.82,52,-                                                 ,"5,496",14.26,559,"1,865","1,679",144,104,55.60,37.20,2.40,4.80,"5,264","3,262","1,771",231,"11,986","4,889","5,778","1,319"
"1,020",אור עקיבא,"1,149",8.45,350.25,159.17,8.84,41.16,226.26,153.96,74.37,61,..                                                ,"3,544",27.99,512,"1,283",871,81,78,60.60,21.80,10.80,6.90,"2,531","1,590",828,113,"5,737","2,366","2,730",641
"3,760",אורנית,390,6.93,114.50,50.08,6.88,41.55,285.22,156.35,72.90,59,-                                                 ,932,3.97,11,122,165,38,26,39.90,53.10,3.80,3.10,953,617,316,20,"2,081",954,"1,016",111
565,אזור,611,8.66,170.08,75.08,8.48,40.78,243.67,148.94,69.00,54,-                                                 ,"1,927",8.10,145,526,408,58,55,41.40,53,2.80,2.70,"1,623","1,036",525,62,"3,663","1,604","1,704",355
"2,600",אילת,"4,365",12.87,"1,087.00",476.42,12.95,41.71,224.95,151.28,61.48,52,..                                                ,"6,585",20.80,"1,235","1,433","2,656",211,247,56.20,35,3.60,5.20,"7,379","5,326","1,852",201,"14,989","7,847","5,998","1,144"
37,איתן,452,8.54,125.83,61.08,9.10,38.78,245.03,140.54,70.78,52,-                                                 ,999,3.80,163,340,170,13,19,79.80,14.90,2,3.30,"1,093",688,366,39,"2,446","1,034","1,190",222
478,אכסאל,470,5.44,132.67,86.83,5.48,38.00,195.08,139.88,72.99,54,-                                                 ,832,41.59,452,445,621,84,55,87.50,11.10,0.90,0.50,"2,326","1,437",824,65,"5,232","2,185","2,702",345
41,אליכין,324,5.55,92.42,34.17,5.61,40.63,267.06,151.88,69.34,54,..                                                ,954,1.78,38,260,222,12,14,79.30,17.70,1.30,1.70,"1,020",606,362,52,"2,406",928,"1,171",307
"1,309",אלעד,"1,310",6.29,345.92,149.83,6.46,37.30,197.78,149.28,64.51,50,..                                                ,"1,087",9.75,333,249,"1,091",62,6,34.60,32.10,23.60,9.70,"5,917","1,755","1,897","2,265","23,419","2,621","6,647","14,151"
"3,750",אלפי מנשה,328,7.01,93.17,37.75,7.02,42.48,285.51,156.56,69.50,55,-                                                 ,913,4.49,11,84,193,36,22,45.40,47.20,5.60,1.70,"1,124",803,307,14,"2,285","1,226",975,84
"3,560",אלקנה,115,5.59,34.08,16.67,5.59,39.52,284.89,153.45,72.17,60,-                                                 ,550,1.09,17,57,53,9,8,51.60,35.50,4.60,8.30,670,297,297,76,"1,878",441,"1,024",413
529,אעבלין,517,6.32,147.17,89.33,6.35,38.76,197.63,141.41,71.67,61,-                                                 ,"1,001",34.17,360,504,567,53,42,72.60,11.30,12.10,4,"1,799","1,144",612,43,"3,960","1,759","1,978",223
"3,650",אפרת,301,5.34,90.50,44.08,5.35,39.16,267.60,152.34,73.46,66,-                                                 ,834,3.84,45,127,267,19,7,22.70,37.50,38.20,1.50,"1,461",712,572,177,"4,028","1,099","1,976",953
"3,570",אריאל,759,5.45,221.42,89.58,5.49,42.26,237.22,157.31,70.81,57,-                                                 ,"2,850",29.75,111,723,587,52,66,41.90,38.60,3.30,16.20,"2,479","1,723",633,123,"5,302","2,538","2,051",713
71,אשבול,916,8.63,256.75,102.92,8.93,40.56,232.94,153.12,68.43,55,-                                                 ,"1,695",3.42,89,154,447,31,34,77.20,18.10,1.20,3.50,"2,144","1,190",769,185,"5,450","1,842","2,555","1,053"
70,אשדוד,"11,263",9.38,"3,210.00","1,284.33",9.32,40.52,205.75,153.45,70.57,55,..                                                ,"35,162",30.21,"4,677","13,007","7,720",718,"1,033",31.40,32.10,19.70,16.80,"32,073","19,323","9,446","3,304","79,881","28,541","31,324","20,016"
"7,100",אשקלון,"9,418",10.70,"2,740.67","1,072.75",10.96,40.39,204.16,150.23,73.70,60,..                                                ,"25,129",33.85,"5,066","11,123","6,645",554,730,49.80,29,11.30,9.80,"17,230","11,132","5,287",811,"38,363","16,524","17,303","4,536"
"6,000",באקה אל-גרביה,"1,097",6.17,310.67,170.67,6.28,38.62,199.15,144.94,70.44,55,-                                                 ,"1,853",17.38,672,"1,139","1,252",145,101,72.20,4.80,11.70,11.20,"5,772","3,648","1,970",154,"12,821","5,548","6,464",809
"2,530",באר יעקב,"1,332",7.43,354.33,134,7.73,39.72,254.11,147.45,64.72,52,..                                                ,"2,441",9.46,154,575,583,42,40,48.40,40.50,7.20,3.80,"2,356","1,228","1,043",85,"5,804","1,968","3,358",478
"9,000",באר שבע,"9,754",7.77,"2,819.42","1,120.83",7.70,40.15,203.06,150.74,70.81,56,..                                                ,"34,204",29.00,"7,255","12,326","12,184","1,067","1,199",61.90,25.50,4.40,8.20,"31,343","19,773","9,596","1,974","72,593","29,646","31,418","11,529"
482,בועיינה-נוג'ידאת,474,7.72,124.33,74.67,7.84,37.41,178.54,138.68,68.40,55,-                                                 ,473,45.88,278,281,508,50,39,68.70,0.20,11.70,19.40,"1,607",979,592,36,"3,612","1,477","1,951",184
"4,001",בוקעאתא,556,13.05,151.50,71.83,13.25,36.99,172.62,132.67,69.79,66,-                                                 ,485,40.62,204,242,319,33,14,57.50,12.60,5.60,24.30,986,764,220,..                                                ,"1,840","1,145",685,10
998,ביר אל-מכסור,406,6.61,125.83,84.17,6.71,40.32,204.87,147.84,77.47,69.50,-                                                 ,588,36.05,333,320,475,57,27,61.80,2.30,15.50,20.40,"1,609",952,583,74,"3,801","1,471","1,937",393
"3,574",בית אל,105,3.68,29.75,15.67,3.85,40.25,218.79,152.01,67.85,50,-                                                 ,412,6.80,27,66,133,15,9,50.20,5.30,3.60,40.90,"1,158",464,397,297,"3,848",690,"1,383","1,775"
"3,652",בית אריה-עופרים,245,7.74,70.25,32.58,7.78,40.72,253.79,152.89,71.09,55,-                                                 ,452,7.52,27,67,116,14,20,24.20,35.50,6.10,34.30,543,365,168,10,"1,150",548,545,57
480,בית ג'ן,515,6.65,148.50,54.83,6.69,38.40,179.66,145.91,71.23,60,-                                                 ,"1,049",16.87,241,498,549,54,26,46.10,0.20,31.80,21.90,"1,751","1,313",424,14,"3,396","1,984","1,342",70
466,בית דגן,335,7.37,88.75,34.17,7.32,39.80,239.97,143.23,63.63,52,-                                                 ,860,5.93,57,215,204,39,28,49.10,35.70,13,2.20,759,505,223,31,"1,660",756,729,175
16,בית ניר,"1,862",8.47,548.50,211.08,8.52,41.64,275.64,154.35,72.27,60,-                                                 ,"5,379",1.93,85,945,787,118,125,69.20,22.70,5.20,2.90,"4,850","3,322","1,448",80,"10,050","5,003","4,600",447
"9,200",בית שאן,"1,035",9.28,323.75,155,9.34,40.36,200.43,150.40,77.55,66,..                                                ,"2,479",16.10,864,761,"1,126",72,95,93,6.50,0.30,0.20,"3,120","1,957",981,182,"7,219","2,945","3,225","1,049"
"2,610",בית שמש,"3,919",5.71,"1,100.92",481.25,5.91,35.39,199.03,139.95,67.99,54,..                                                ,"5,578",22.55,"3,062","2,025","4,033",220,37,23.90,14.80,42.60,18.60,"15,285","6,010","4,493","4,782","55,769","8,831","15,460","31,478"
"3,780",ביתר עילית,"1,620",6.22,458.08,186.67,6.42,33.92,173.39,138.31,68.66,52,..                                                ,969,22.08,"1,753",257,"1,570",64,12,19.70,5,47.90,27.30,"8,265","2,567","2,254","3,444","34,405","3,844","7,858","22,703"
"6,100",בני ברק,"4,768",5.21,"1,210.17",457.92,5.24,35.97,190.26,143.01,61.38,50,..                                                ,"14,369",13.58,"1,982","3,736","6,238",512,174,23.70,49,17.20,10.10,"35,913","13,620","11,775","10,518","127,767","20,497","40,727","66,543"
"1,066","בני עי""ש",347,9.11,99.83,41.33,9.01,43.49,218.69,168.35,70.31,52,..                                                ,"1,379",37.06,98,634,260,34,14,47,24.30,26.50,2.20,708,485,181,42,"1,533",707,588,238
"9,800",בנימינה-גבעת עדה,380,4.50,117.42,48.33,4.53,42.10,291.86,154.93,75.80,63,-                                                 ,"1,460",6.23,62,316,335,36,48,44.90,37.30,12,5.70,"1,651","1,115",501,35,"3,440","1,650","1,601",189
"1,326","בסמ""ה",361,5.42,106,62.33,5.48,37.41,190.77,140.00,72.54,59,-                                                 ,548,27.92,377,385,315,38,20,74.70,5,19.60,0.80,"1,650",983,589,78,"3,865","1,511","1,942",412
944,בסמת טבעון,303,6.59,85.33,49.75,6.68,36.83,188.43,134.75,69.51,53,-                                                 ,554,22.38,171,160,378,31,26,87.20,10.70,0.80,1.40,"1,166",760,364,42,"2,573","1,131","1,221",221
483,בענה,333,6.52,94.50,49.17,6.57,38.41,176.28,140.72,71.71,58,-                                                 ,512,38.48,343,314,299,35,17,61.80,2.70,15.60,19.90,591,283,274,34,"1,541",453,910,178
"6,200",בת ים,"6,284",8.83,"1,754.92",754.42,8.76,43.28,223.17,158.38,69.01,54,..                                                ,"30,062",28.26,"2,507","10,429","5,599",591,533,36.40,50.80,6.90,6,"19,594","14,159","4,865",570,"39,872","20,898","15,667","3,307"
33,בת שלמה,958,7.44,264.92,96.83,7.37,39.82,241.88,147.48,67.65,54,-                                                 ,"3,781",2.09,119,673,515,82,105,66.30,19.20,7.90,6.60,"2,840","1,793",978,69,"6,278","2,696","3,197",385
"3,730",גבעת זאב,667,6.15,196.92,90.75,6.29,37.20,214.54,144.10,73.13,59,-                                                 ,"1,567",7.59,214,321,461,66,60,34.30,13.50,42.30,9.90,"2,286",996,816,474,"7,223","1,518","2,796","2,909"
