סמל היישוב,שם יישוב,"מספר מקבלי דמי אבטלה 
(סה""כ שנתי)","אחוז מקבלי דמי אבטלה מבני 67-20
(שנתי)","מקבלי דמי אבטלה 
(ממוצע חודשי) סה""כ","מקבלי דמי אבטלה 
(ממוצע חודשי) גברים","אחוז מקבלי דמי אבטלה מבני 67-20
(ממוצע חודשי)","גיל ממוצע של מקבלי דמי אבטלה
(לא כולל חיילים)","דמי אבטלה ממוצעים ליום
(ש""ח)","ימי זכאות לדמי אבטלה
(ממוצע שנתי)","ניצול ימי אבטלה בשנה 
(ממוצע שנתי)","ניצול ימי אבטלה בשנה 
(חציון שנתי)","מקבלי הכשרה מקצועית
סה""כ","מקבלי קצבאות זקנה ושאירים סה""כ (סוף שנה)",אחוז מקבלי השלמת הכנסה מבין מקבלי קצבאות זקנה ושאירים (סוף שנה),"מקבלי גמלת הבטחת הכנסה (נפשות, במשך השנה)",מקבלי גמלאות סיעוד (סוף שנה),מקבלי גמלאות נכות כללית (סוף שנה),מקבלי גמלאות ניידות (סוף שנה),מקבלי גמלאות נכות מעבודה ותלויים (סוף שנה),"אחוז המבוטחים בקופ""ח מתוך סך כל המבוטחים כללית","אחוז המבוטחים בקופ""ח מתוך סך כל המבוטחים מכבי","אחוז המבוטחים בקופ""ח מתוך סך כל המבוטחים מאוחדת","אחוז המבוטחים בקופ""ח מתוך סך כל המבוטחים לאומית","מספר משפחות של מקבלי קצבאות  בגין ילדים (סוף שנה) סה""כ",מספר משפחות של מקבלי קצבאות  בגין ילדים (סוף שנה) עם 2-1 ילדים במשפחה,מספר משפחות של מקבלי קצבאות  בגין ילדים (סוף שנה) עם 4-3 ילדים במשפחה,מספר משפחות של מקבלי קצבאות  בגין ילדים (סוף שנה) עם 5 ילדים ויותר במשפחה,"מספר ילדים שבגינם שולמו קצבאות סה""כ",מספר ילדים שבגינם שולמו קצבאות במשפחות עם 2-1 ילדים,מספר ילדים שבגינם שולמו קצבאות במשפחות עם 4-3 ילדים,מספר ילדים שבגינם שולמו קצבאות במשפחות עם 5 ילדים ויותר
472,אבו גוש,873,19.30,352,220,7.83,37,169,120,114,119,..                                                ,491,29.12,337,228,322,28,18,86.60,2.60,10.10,0.70,"1,098",691,360,47,"2,475","1,023","1,200",252
473,אבו סנאן,"1,316",15.10,563,274,6.53,37,150,121,124,129,-                                                 ,955,22.51,659,316,588,69,45,62.90,8.10,4.90,24.10,"1,902","1,282",577,43,"4,010","1,922","1,863",225
182,אבן יהודה,"1,143",15.10,473,196,6.28,40,214,129,117,124,-                                                 ,"1,856",2.96,57,313,234,60,47,42.40,40.20,14.50,2.90,"1,620","1,057",546,17,"3,469","1,633","1,746",90
"2,710",אום אל-פחם,"5,143",15.70,"2,325","1,459",7.23,37,151,123,131,141,..                                                ,"2,613",24.53,"4,292","1,808","2,043",250,162,71.90,7.90,20.10,0.20,"8,560","5,031","3,140",389,"20,203","7,705","10,425","2,073"
31,אופקים,567,12.50,218,94,4.89,37,180,125,108,111,-                                                 ,475,2.32,31,79,99,18,9,66.60,14.60,16.80,2,"1,039",314,383,342,"3,883",511,"1,332","2,040"
"2,400",אור יהודה,"4,147",19.40,"1,615",739,7.55,41,178,129,109,104,..                                                ,"5,074",13.66,753,"1,516","1,529",161,108,57.20,35.80,2,5,"5,310","3,358","1,759",193,"11,874","5,020","5,737","1,117"
"1,020",אור עקיבא,"2,327",20.20,934,420,8.19,41,179,127,112,111,..                                                ,"3,172",28.97,702,"1,033",750,84,81,64,19.50,10.60,5.90,"2,468","1,571",794,103,"5,498","2,321","2,590",587
"3,760",אורנית,819,16.20,334,144,6.61,41,208,127,114,120,-                                                 ,831,3.85,27,80,161,40,25,39.20,53.40,4,3.40,968,626,322,20,"2,138",984,"1,045",109
565,אזור,"1,422",18.20,579,240,7.42,40,192,129,115,120,..                                                ,"1,831",7.05,185,430,372,58,59,41.10,53.20,2.90,2.70,"1,610","1,030",521,59,"3,584","1,568","1,684",332
"2,600",אילת,"13,706",40.60,"4,499","2,124",13.36,41,192,124,89,63,-                                                 ,"6,138",19.57,"1,544","1,025","2,362",219,249,55.40,35.50,3.70,5.40,"7,306","5,270","1,851",185,"14,833","7,757","6,026","1,050"
