שם יישוב,סמל היישוב,"צפיפות אוכלוסייה לקמ''ר ביישובים שמנו 5,000 תושבים ויותר","סה""כ  אוכלוסייה בסוף השנה",יהודים ואחרים (אחוזים),"יהודים 
(אחוזים מתוך יהודים ואחרים)",ערבים (אחוזים),מוסלמים (אחוזים מתוך האוכלוסייה הערבית),נוצרים (אחוזים מתוך האוכלוסייה הערבית),דרוזים (אחוזים מתוך האוכלוסייה הערבית),"סה""כ גברים בסוף השנה","סה""כ נשים בסוף השנה",אחוז באוכלוסייה בסוף השנה בני 4-0,אחוז באוכלוסייה בסוף השנה בני 9-5,אחוז באוכלוסייה בסוף השנה בני 14-10,אחוז באוכלוסייה בסוף השנה בני 19-15,אחוז באוכלוסייה בסוף השנה בני 29-20,אחוז באוכלוסייה בסוף השנה בני 44-30,אחוז באוכלוסייה בסוף השנה בני 59-45,אחוז באוכלוסייה בסוף השנה בני 64-60,אחוז באוכלוסייה בסוף השנה בני 65 ומעלה,אחוז באוכלוסייה בסוף השנה בני 17-0,אחוז באוכלוסייה בסוף השנה בני 75 ומעלה,"יחס תלות (ל-1,000 תושבים בלתי תלויים)",לידות חי,שיעור פריון כולל,פטירות תינוקות (ממוצע),"שיעור פטירות תינוקות ל-1,000 לידות חי",פטירות,"שיעור פטירות מתוקנן ל-1,000 תושבים","ריבוי טבעי
סה""כ","ריבוי טבעי  ל-1,000 תושבים",אחוז גידול האוכלוסייה לעומת השנה הקודמת,אחוז עולי 1990+ מסך האוכלוסייה,השתקעות ראשונה של עולים,אחוז עולים בהשתקעות ראשונה בני 17-0,אחוז עולים בהשתקעות ראשונה בני 44-18,אחוז עולים בהשתקעות ראשונה בני 64-45,אחוז עולים בהשתקעות ראשונה בני 65 ומעלה,"מאזן הגירה ביישוב
סה""כ",מאזן הגירה פנימית,"נכנסים מיישובים אחרים סה""כ",נכנסים מיישובים אחרים גברים,נכנסים מיישובים אחרים נשים,נכנסים מיישובים אחרים עד גיל 14,נכנסים מיישובים אחרים גיל 29-15,נכנסים מיישובים אחרים גיל 64-30,נכנסים מיישובים אחרים גיל 65 ומעלה,"יוצאים ליישובים אחרים סה""כ",יוצאים ליישובים אחרים גברים,יוצאים ליישובים אחרים נשים,יוצאים ליישובים אחרים עד גיל 14,יוצאים ליישובים אחרים גיל 29-15,יוצאים ליישובים אחרים גיל 64-30,יוצאים ליישובים אחרים גיל 65 ומעלה,הגירה בתוך הרשות המקומית,"נישאים סה""כ גברים ונשים","נישאים שיעור ל-1,000 תושבים לא נשואים בני 15 ומעלה","מתגרשים סה""כ גברים ונשים","מתגרשים שיעור ל-1,000 תושבים נשואים בני 15 ומעלה",אוכלוסיית דיור משותף (אחוז מתוך אוכלוסיית הרשות) סך מוסדות דיור משותף ברשות,אוכלוסיית דיור משותף (אחוז מתוך אוכלוסיית הרשות) סך דיירי דיור משותף ברשות,אוכלוסיית דיור משותף (אחוז מתוך אוכלוסיית הרשות) אחוז דיירים בבתי אבות ובדיור מוגן,אוכלוסיית דיור משותף (אחוז מתוך אוכלוסיית הרשות) אחוז דיירים במוסדות חינוך,אוכלוסיית דיור משותף (אחוז מתוך אוכלוסיית הרשות) אחוז דיירים במוסדות דת,אוכלוסיית דיור משותף (אחוז מתוך אוכלוסיית הרשות) אחוז דיירים במוסדות אשפוז כולל הוסטלים,אוכלוסיית דיור משותף (אחוז מתוך אוכלוסיית הרשות) אחוז דיירים במוסדות אחרים
אלעד,"1,309","14,219.80","49,593",100,100,-,-,-,-,"25,075","24,518",13.81,15.02,15.97,14.41,13.17,16.44,8.23,1.06,1.90,53.47,0.56,"1,571","1,415",5.12,2.80,( 2.0),37,3.35,"1,378",27.91,0.87,2.44,21,33.33,33.33,9.52,23.81,-987,"-1,003",915,518,397,365,366,161,23,"1,918","1,046",871,776,706,419,17,"1,700",624,61,94,6,11,"2,254",-,0.07,4.51,-,-
אלפי מנשה,"3,750",..,"7,966",100,96.10,-,-,-,-,"3,990","3,976",6.60,8.20,11.22,9.26,11.66,17.07,20.69,4.52,10.78,31.48,2.32,854,83,..,0.60,  ..,26,4.74,57,7.14,-0.39,8.17,7,42.86,42.86,14.29,0,-82,-94,268,138,130,91,40,109,28,362,187,175,93,97,137,35,193,33,13.40,32,9.60,-,-,-,-,-,-,-
אלקנה,"3,560",..,"4,072",100,99.80,-,-,-,-,"2,020","2,052",11.59,10.73,9.70,7.88,13.78,17.24,11.67,3.41,13.97,37.40,4.79,"1,169",92,..,0.60,  ..,9,..,83,20.79,4.10,3.12,0,0,0,0,0,81,76,371,181,190,167,95,106,3,294,150,144,127,70,92,5,147,54,69.20,7,3.80,..,..,..,..,..,..,..
אעבלין,529,"1,137.60","13,692",-,-,99.90,58,42,-,"6,912","6,781",7.96,9.03,9.33,9.44,17.46,19.43,16.81,3.81,6.73,32.06,2.32,739,202,1.90,1,( 4.7),46,5.67,156,11.45,1.07,0.04,0,0,0,0,0,-39,-34,107,41,66,39,39,27,2,141,44,97,41,52,48,0,0,142,34.30,29,5.10,3,101,-,-,-,-,0.75
אפרת,"3,650",..,"11,804",100,99.70,-,-,-,-,"6,072","5,733",11.73,12.99,11.95,9.63,13.14,18.82,10.72,3.52,7.51,43.04,2.08,"1,165",301,3.97,0.20,  ..,26,4.49,275,23.70,3.50,21.65,153,42.48,32.68,9.80,15.03,136,-31,513,283,230,207,111,162,33,544,292,252,194,186,138,26,669,108,41.70,24,5.40,4,404,-,2.57,0.97,-,-
אריאל,"3,570",..,"19,647",97.10,80.50,-,-,-,-,"9,858","9,789",7.31,7.87,6.96,5.21,19.32,18.23,15.87,5.76,13.48,25.05,4.98,690,312,2.40,0.80,  ..,114,4.77,198,10.09,0.33,33.13,90,14.44,66.67,11.11,7.78,-168,-215,679,368,311,149,288,213,29,894,447,447,212,303,344,35,856,115,14.90,79,9.90,3,"1,807",0.60,8.37,0.26,-,-
אשדוד,70,"4,791","225,975",99.80,89.60,-,-,-,-,"110,452","115,523",8.99,9.03,8.24,7.49,13.27,16.63,16.01,4.85,15.47,30.81,6.71,970,"4,315",3.18,10.80, 2.5,"1,624",4.96,"2,691",11.90,-0.08,27.74,"1,010",21.98,36.24,26.34,15.45,"-2,675","-3,648","3,331","1,803","1,528",901,960,"1,182",288,"6,979","3,670","3,309","2,007","2,216","2,370",386,"11,853","2,006",27.50,788,8.40,42,"3,233",0.35,0.07,0.60,0.37,0.03
אשקלון,"7,100","3,288.30","149,160",99.70,86,-,-,-,-,"72,582","76,578",8.69,8.62,7.28,6.04,12.61,19.58,15.71,5.36,16.11,28.20,6.60,878,"2,489",2.53,5.60, 2.2,"1,074",5.01,"1,415",9.57,1.80,28.69,527,20.87,39.28,23.53,16.32,"1,282",705,"4,421","2,149","2,272","1,097","1,085","1,849",390,"3,716","1,837","1,879","1,046","1,005","1,429",236,"8,992",927,18.40,626,10.60,21,"1,503",0.48,0.09,0.04,0.28,0.14
באקה אל-גרביה,"6,000","3,469.80","30,973",-,-,99.90,100,-,-,"15,655","15,317",9.30,9.59,9.83,10.66,17.85,18.85,15.00,3.24,5.67,34.98,2.00,820,556,2.34,3.40,( 6.0),123,6.63,433,14.10,1.69,0.03,..,..,..,..,..,73,65,311,120,191,119,113,77,2,246,100,146,79,97,69,1,9,309,34.70,65,5.30,..,..,..,..,..,..,..
באר יעקב,"2,530","3,154.70","29,852",99.70,96.30,-,-,-,-,"15,176","14,676",12.33,13.30,9.07,6.58,9.73,25.15,12.66,3.06,8.13,38.34,2.45,977,625,2.96,-,   -,74,3.56,551,18.72,2.89,10.59,29,24.14,65.52,3.45,6.90,369,328,"1,569",764,805,550,216,727,76,"1,241",639,602,467,204,518,52,792,132,19.90,91,7.60,9,"1,291",-,0.88,2.08,1.49,-
באר שבע,"9,000","1,799.50","211,251",97.10,88.40,-,-,-,-,"103,192","108,059",8.08,7.93,6.93,6.25,14.21,19.12,15.62,5.56,16.31,26.67,6.69,835,"3,433",2.42,9.20, 2.7,"1,652",5.45,"1,781",8.44,0.31,25.19,596,23.32,47.99,19.13,9.56,"-1,055","-1,656","4,926","2,493","2,433","1,132","1,866","1,677",251,"6,582","3,309","3,273","1,797","1,766","2,612",407,"14,982","1,354",16.90,923,11.30,53,"6,258",0.59,0.60,0.05,0.60,1.14
בועיינה-נוג'ידאת,482,"1,415.80","10,137",-,-,99.90,99.90,-,-,"5,260","4,877",9.47,10.18,9.58,10.22,18.73,20.66,14.08,2.55,4.53,35.10,1.66,785,184,2.25,0.20,  ..,20,5.14,164,16.29,1.41,0.01,0,0,0,0,0,-35,-36,54,17,37,9,29,16,0,90,35,55,30,34,26,0,13,86,30.20,16,3.90,-,-,-,-,-,-,-
בוקעאתא,"4,001",345.50,"6,752",-,-,100,-,-,100,"3,450","3,302",7.14,8.31,9.06,8.89,17.24,20.48,17.95,3.87,7.06,30.05,2.38,680,97,..,   -,   -,23,6.01,74,11.03,1.30,0,0,0,0,0,0,14,13,33,6,27,4,16,12,1,20,5,15,0,10,10,0,2,76,39.70,8,2.60,..,..,..,..,..,..,..
ביר אל-מכסור,998,"1,699.30","9,959",-,-,100,100,-,-,"5,047","4,912",10.03,10.40,9.66,9.49,18.45,18.99,14.56,3.03,5.39,35.69,2.18,817,223,2.92,   -,   -,29,4.33,194,19.71,2.35,0,0,0,0,0,0,28,27,69,24,45,19,29,20,1,42,13,29,9,19,13,1,1,99,36.70,13,3.30,-,-,-,-,-,-,-
בית אל,"3,574",..,"5,681",100,99.80,-,-,-,-,"2,926","2,755",12.20,10.33,10.58,15.38,22.04,10.79,10.10,2.46,6.11,41.05,1.88,"1,203",186,..,   -,   -,11,3.43,175,30.80,-0.05,6.67,3,0,0,66.67,33.33,-167,-173,217,113,104,79,97,32,9,390,199,191,139,173,74,4,136,150,78.40,7,3.50,4,913,-,10.17,5.38,-,0.51
בית אריה-עופרים,"3,652",..,"5,409",99.80,95.80,-,-,-,-,"2,726","2,682",7.89,9.67,10.70,8.91,13.40,17.64,19.36,4.36,8.08,33.89,1.85,826,72,..,0.40,  ..,7,3.56,65,12.08,1.08,6.58,0,0,0,0,0,-10,3,272,130,142,95,42,125,10,269,130,139,69,67,118,15,127,34,21.30,36,16.60,-,-,-,-,-,-,-
בית ג'ן,480,"1,709.40","12,307",-,-,100,0.10,-,99.90,"6,191","6,116",7.88,7.57,7.95,8.39,17.89,22.17,16.51,4.03,7.61,28.46,3.16,650,210,2.03,0.40,  ..,53,4.76,157,12.84,1.28,0,0,0,0,0,0,-3,-4,60,12,48,7,27,25,1,64,23,41,12,26,25,1,7,184,50,19,3.50,-,-,-,-,-,-,-
בית דגן,466,"5,399.70","7,644",99.90,97.50,-,-,-,-,"3,833","3,810",7.57,7.22,8.03,8.18,14.60,17.05,19.65,5.14,12.55,27.89,5.05,772,108,..,0.20,  ..,39,4.30,69,9.24,4.73,5.31,..,..,..,..,..,285,276,544,274,270,198,81,242,23,268,137,131,64,67,119,18,242,46,17.30,33,11,..,..,..,..,..,..,..
בית שאן,"9,200","1,723.10","18,900",99.10,97.90,-,-,-,-,"9,507","9,393",9.58,8.53,8.06,7.35,15.48,18.29,15.47,5.39,11.85,30.60,3.84,831,418,3.26,0.80,  ..,111,5.96,307,16.33,1.04,5.42,23,47.83,39.13,13.04,0,-366,"-1,850",445,236,209,122,149,154,20,"2,295","1,181","1,114",797,716,745,37,"1,347",219,34.10,83,11.40,3,137,-,-,0.17,0.44,0.12
בית שמש,"2,610","3,702.40","141,764",99.90,98.70,-,-,-,-,"71,322","70,442",17.61,15.61,12.65,9.34,14.75,15.88,8.49,1.77,3.89,51.87,1.47,"1,445","4,826",5.43,15, 3.5,303,4.94,"4,523",32.98,6.96,14.65,860,42.79,34.65,9.53,13.02,"4,717","3,963","7,701","4,061","3,640","3,882","2,536","1,202",81,"3,737","2,007","1,730","1,342","1,474",821,100,"8,107","1,684",66.20,299,6.70,23,"1,567",0.08,0.04,0.89,0.05,0.13
ביתר עילית,"3,780",..,"63,220",100,100,-,-,-,-,"31,517","31,702",19.26,17.29,15.37,10.77,14.32,14.29,6.65,0.83,1.21,59.03,0.34,"1,770","2,579",6.78,5.20, 2.2,54,5.28,"2,525",40.61,3.43,4.05,58,29.31,48.28,6.90,15.52,-452,-467,"2,126","1,249",877,832,"1,004",260,30,"2,593","1,461","1,132","1,193","1,018",363,19,"3,068",909,99.20,89,4.70,8,620,-,0.11,0.91,-,-
בני ברק,"6,100","28,903","212,395",99.90,99.40,-,-,-,-,"108,983","103,412",16.64,13.91,11.24,10.47,15.49,15.48,7.86,2.18,6.72,48.10,2.53,"1,438","7,898",5.77,22.60, 2.9,720,5.22,"7,178",34.08,1.73,3.57,200,29.50,47.50,12.50,10.50,"-3,150","-3,320","4,097","2,453","1,643","1,285","1,927",767,118,"7,417","4,173","3,244","2,808","2,764","1,548",297,"12,839","3,330",74.80,334,4.40,87,"12,204",0.17,0.23,4.68,0.66,0.10
"בני עי""ש","1,066","8,427.90","6,895",99.20,80.90,-,-,-,-,"3,318","3,577",7.31,7.05,5.73,5.70,12.47,16.68,18.11,6.80,20.15,23.21,9.38,850,101,..,   -,   -,68,5.22,33,4.78,-0.43,41.90,10,20,0,70,10,-97,-106,173,83,90,60,34,66,13,279,124,155,80,63,114,22,158,45,18,29,9.40,-,-,-,-,-,-,-
בנימינה-גבעת עדה*,"9,800",658.90,"16,075",99.80,96.60,-,-,-,-,"8,028","8,047",6.41,9.36,11.29,9.64,10.82,17.43,21.76,3.94,9.34,33.18,3.48,853,163,2.02,   -,   -,61,4.59,102,6.37,0.94,7.14,5,20,20,20,40,42,5,548,279,269,183,63,285,17,543,271,272,106,175,234,28,502,50,9.50,55,8.90,2,229,-,-,-,1.44,-
"בסמ""ה","1,326","1,853","10,497",-,-,100,100,-,-,"5,386","5,111",10.23,10.31,10.15,10.38,19.42,18.30,13.78,2.72,4.73,36.84,1.71,845,231,2.69,2.20,( 9.3),31,5.80,200,19.27,2.32,0.02,0,0,0,0,0,28,24,89,28,61,29,40,19,1,65,14,51,11,41,12,1,20,144,51.90,13,3.10,-,-,-,-,-,-,-
בסמת טבעון,944,"1,992.20","8,068",-,-,99.70,100,-,-,"3,992","4,077",8.80,8.91,8.91,10.26,18.57,18.64,16.62,3.37,5.91,32.68,2.42,748,144,..,0.40,  ..,38,5.44,106,13.20,0.89,0.06,0,0,0,0,0,-45,-45,56,20,36,22,18,15,1,101,37,64,34,37,29,1,34,76,28.80,11,3.50,-,-,-,-,-,-,-
בענה,483,"2,468.50","8,536",-,-,99.80,92.60,7.40,-,"4,290","4,247",8.35,8.92,9.04,10.63,19.33,19.06,15.96,3.15,5.58,32.69,2.01,739,123,..,0.60,  ..,31,5.65,92,10.84,1.21,0.04,0,0,0,0,0,0,1,75,23,52,13,42,18,2,74,24,50,13,38,21,2,0,71,26.10,20,6,-,-,-,-,-,-,-
בת ים,"6,200","15,411.10","126,290",99.20,78.10,-,-,-,-,"60,432","65,858",5.85,6.16,5.46,5.00,10.59,19.77,18.11,5.93,23.11,20.50,10.37,838,"1,544",2.09,2.40,( 1.4),"1,421",5.76,123,0.97,-1.18,36.03,916,20.74,42.90,24.34,12.01,"-1,765","-2,515","3,810","1,975","1,835",625,946,"1,794",445,"6,324","3,079","3,245","1,654","1,285","2,762",623,"6,524",629,11.90,590,11.30,10,"1,200",0.64,0.10,0.02,0.18,-
גבעת זאב,"3,730",..,"20,034",99.90,99.20,-,-,-,-,"9,979","10,055",15.34,14.02,11.11,6.73,14.34,17.25,9.90,3.48,7.84,44.90,2.57,"1,224",614,4.49,1.60,( 2.8),37,3.12,577,29.39,4.21,7.77,72,37.50,36.11,18.06,8.33,270,211,"1,350",722,627,604,383,328,35,"1,139",575,564,420,348,325,46,807,233,37.10,47,6.30,-,-,-,-,-,-,-
גבעת שמואל,681,"10,946.10","28,162",99.80,98.70,-,-,-,-,"13,995","14,166",9.19,9.68,9.77,7.78,13.02,18.56,15.46,3.53,13.01,33.68,5.69,978,508,2.88,0.20,  ..,112,3.68,396,14.29,3.35,9.83,88,30.68,39.77,12.50,17.05,495,378,"1,676",834,842,440,509,608,119,"1,298",638,660,379,428,435,56,"1,476",297,39,88,7.70,-,-,-,-,-,-,-
גבעתיים,"6,300","18,900","61,281",99.90,96.50,-,-,-,-,"29,325","31,955",7.69,7.01,6.07,4.81,11.50,26.05,16.58,4.00,16.29,23.78,8.32,720,980,1.89,0.20,  ..,451,4.39,529,8.65,0.36,8.51,54,14.81,38.89,20.37,25.93,-304,-340,"3,957","2,051","1,906",494,"1,386","1,925",152,"4,297","2,113","2,184",944,780,"2,320",253,"2,696",388,15.50,177,7.70,3,412,0.67,-,-,-,-
ג'דיידה-מכר,"1,292","2,365.20","21,507",-,-,99.80,92.80,7.20,-,"10,837","10,671",8.55,8.30,8.56,10.42,18.41,18.37,17.70,3.81,5.88,31.35,2.13,716,315,1.98,1.60,( 4.6),94,6.28,221,10.32,0.80,0.03,..,..,..,..,..,-72,-73,202,68,134,48,84,62,8,275,95,180,67,106,100,2,36,256,45.60,72,8.20,-,-,-,-,-,-,-
גדרה,"2,550","2,658.40","30,392",99.60,97.40,-,-,-,-,"14,734","15,659",7.61,9.30,10.52,10.84,11.72,17.68,18.45,3.39,10.50,34.46,4.74,952,367,2.32,0.40,  ..,142,3.81,225,7.59,5.18,8.64,13,23.08,46.15,7.69,23.08,"1,319","1,315","2,089","1,046","1,043",838,245,918,88,774,393,381,189,245,292,48,"1,363",149,35.90,88,8,6,"1,268",0.86,1.98,-,1.48,0.07
ג'ולס,485,"1,653","6,657",-,-,100,0.40,-,99.60,"3,380","3,277",7.62,7.00,7.44,8.50,18.28,21.60,17.97,4.33,7.26,26.99,2.85,608,100,..,0.20,  ..,25,5.31,75,11.34,1.38,0,0,0,0,0,0,13,12,44,12,32,4,28,12,0,32,7,25,5,17,10,0,0,88,43.90,10,3.20,..,..,..,..,..,..,..
ג'לג'וליה,627,"4,241.80","10,480",-,-,98.70,100,-,-,"5,369","5,110",10.65,10.07,9.62,10.69,18.71,16.70,14.48,2.99,6.12,36.61,2.64,891,186,2.50,0.80,  ..,50,5.24,136,13.05,1.19,0.50,0,0,0,0,0,1,-2,88,31,57,40,32,15,1,90,28,62,29,42,18,1,0,116,31.10,31,8,..,..,..,..,..,..,..
גן יבנה,166,"2,119","24,251",99.70,96.60,-,-,-,-,"12,174","12,077",6.13,8.26,10.07,10.35,15.30,15.41,21.59,4.54,8.34,30.77,2.77,759,276,2.15,0.20,  ..,67,4.01,209,8.68,1.36,9.18,16,18.75,37.50,18.75,25,79,55,960,465,495,375,160,379,46,905,468,437,249,268,344,44,527,120,48.80,83,8.30,..,..,..,..,..,..,..
גני תקווה,229,"10,516.70","22,694",99.90,98.40,-,-,-,-,"11,010","11,684",8.81,10.09,9.04,7.69,9.12,18.60,17.26,3.86,15.53,32.74,6.62,"1,048",332,2.72,0.40,  ..,112,3.58,220,9.94,5.30,5.38,19,47.37,10.53,26.32,15.79,934,909,"1,656",806,850,522,209,748,177,747,379,368,204,215,271,57,959,79,58.20,91,10,3,197,-,0.60,-,0.16,0.15
ג'סר א-זרקא,541,"9,283.50","15,315",-,-,99.90,100,-,-,"7,646","7,670",11.30,11.26,10.53,10.96,18.27,19.40,12.79,2.32,3.17,39.56,0.86,895,352,2.93,3,( 8.4),66,9.09,286,18.79,1.25,0.04,..,..,..,..,..,-107,-112,49,23,26,13,24,12,0,161,67,94,62,53,46,0,3,202,15.60,47,8.90,-,-,-,-,-,-,-
ג'ש (גוש חלב),487,..,"3,154",-,-,99.70,37.10,62.60,-,"1,553","1,600",6.98,6.79,8.15,7.64,15.63,19.72,19.18,4.22,11.67,26.22,5.93,702,49,..,   -,   -,14,..,35,11.15,0.84,0.06,0,0,0,0,0,-18,-14,33,14,19,7,12,14,0,47,17,30,14,16,17,0,0,33,15.50,7,5.10,-,-,-,-,-,-,-
